passage,cluster
" NATALIE ALLEN : Hello and thanks for being with us today . President Clinton 's pledge to lift the ban on gays in the military has set off an explosive  	 charge 	  in Washington . The Pentagon 's top brass is opposed to the Clinton campaign promise , and said so at a White House meeting yesterday . 
",3
" Smith : And so OK , you know , here 's the other thing is there 's -- she looks great ! Larkey : Yes . Smith : There 's Judy and so what did this do to her  	 charge 	  account ? Larkey : Nothing , she -- we found most of this in her own closet . We 've -- even the smaller handbag that was slimming and carried right where she 's thin , on her hips so I want women to get rid of those big handbags and use those smaller ones . 
",3
" In a moment , we 'll look at what the press is up against in the Gulf . Commercial break KOPPEL : You 've probably heard the  	 charge 	  in one form or another . It goes something like this . "" The U.S. did n't lose the Vietnam war on the battlefield , but in America 's living rooms . 
",3
" ( BEGIN VIDEOTAPE ) BILL DELANEY , CNN BOSTON BUREAU CHIEF ( voice-over ) : In a Boston courtroom , Judge Maria Lopez , reacting to a prosecutor 's suggestion the sentence she handed down to an admitted sex offender was too light . JUDGE MARIA LOPEZ , MASSACHUSETTS SUPERIOR COURT : And in the scale of cases , the  	 charge 	  of sexual assault on children , this is on a very low level , OK ? And so I really think it 's disingenuous for you to tell me that this is a 10 . 
",4
" Falwell was a giant of faith and a visionary leader and he is a man -- has always a man of great optimism and great faith , and he has left instructions for those of us who have to carry on , and we will be faithful to that  	 charge 	  . WILSON : Some surprising , some sad news today with the passing of the Jerry Falwell , the Reverend Jerry Falwell , the man who was in charge of Liberty University , the man who was in charge at one time of the Moral Majority , leaving the scene today unexpectedly with some heart complications . 
",3
" KROFT : There have been people that were elected by the people in Karbala to administer the functions of the city who have been arrested by U.S. authorities . Do you know why ? SHAHRISTANI : The U.S. officers in  	 charge 	  of the city have never explained to the people why they have arrested these people . They only told the city council that they have good reasons for these arrests , which they are not going to share with them . 
",2
"-Iraqi raid in Sadr City . They were looking for a Mahdi militia commander who they believed was in  	 charge 	  in some of these death squads , and , as well , looking for some people who were suspected of being involved in the kidnapping of this U. 
",1
"MR-GERGEN : I do think there is this question , Mark , and you know , when a charge comes out of the shadows , as this one did , you know , it , I do n't think it 's appropriate just to take it at face value without questioning the person and the charge . And it seems to me that if a  	 charge 	  comes out of the shadows like this , that the person who 's throwing the charge simply to throw it should not disqualify somebody . 
",3
" In fact , he will not go away . He will probably be the chief attack dog of the Democratic Party . He will lead the  	 charge 	  against George W. Bush or whatever Republican steps forward and both he and his wife , I think , will be leading the Democrats and be carrying their banner . 
",3
" Now , biological weapons , I think , are very difficult to use , and maybe it 's not a realistic prospect for the Taliban and al Qaeda to use them , but the scary thing is that they 're talking about them and they seem to be working at them . And we also found out that one of the senior al Qaeda people , who now is in  	 charge 	  of the Afghan operation , was actually in charge of the bioweapons program that you all at CNN got the videotapes from a year ago , when they were conducting experiments and gassing dogs and other animals! 
",2
" Because if they do , you can often use that bank to use your ATM card without incurring a fee . The second is what kind of sur 	 charge 	  does your bank charge on a transaction . I have actually two ATM cards , one bank charges three percent . 
",0
" JOHN COCHRAN : So , for Bob Dole and President Clinton the problem is much the same : Republican conservatives will accuse Dole of giving away too much ; Democratic liberals will level the same  	 charge 	  at the president . And , if much of anything is going to be accomplished this fall , the question becomes : Will the center hold ? 
",3
" And because President Clinton feels so strongly about this , because he has based so much of his career on it , it is important that the person he puts in  	 charge 	  of enforcing these laws be in agreement on these kinds of principles KOPPEL Mr. Vice President , I thank you very much . 
",2
" The idea was to take only those with criminal records , to get them on probation , get them out of the normal juvenile justice process and offer them work . The man in  	 charge 	  is Bill Staffasp . Bill Staffa ( Hollywood Diner ) : Where 's the rest of the order ? Unidentified Waiter : She -- she has n't decided . 
",1
" Social Security untouched will make every promised payment for more than 25 years . But the deficit commission was given a  	 charge 	  , add 75 more years of solvency to Social Security . It came up with an approach . I think , frankly , another commission , Pete Domenici and Alice Rivlin 's commission , came up with a better approach . 
",3
" BROWN : Well , this year , the farmers have gotten a little smarter because after putting up with people going through their fields for almost a decade now , they 've started to  	 charge 	  some people a pound to go take a look at a crop circle . Now there are tour groups being led in to see these crop circles , people selling T-shirts . 
",0
" KIDS AROUND CAR The game here is to catch people who were already on their way to McDonald 's , take their orders for shakes and burgers , and then send one of the gang off to buy the Big Macs , while the customer waits . When the food arrives , the customer pays a delivery  	 charge 	  , and sometimes a tip on top . The boys told us they occasionally pay off the guards at McDonald 's so they can get to the front of the lines ; 
",3
"Mr-GORDON : Well , there 's an awful lot at stake in Najaf . The stakes could n't be higher . I think that the basic question is : Who is in  	 charge 	  in Iraq ? Or put it differently : Is anyone in charge in Iraq ? The great worry about Iraq fragmenting before we went in was just that question : Would there be someone to exercise the most basic function of a government , which is to maintain security and authority within the borders ? 
",1
" I used to walk my kids to the friends house and them pick them up and walk them back . But I was wondering who was in  	 charge 	  of her and if you could get the word out , walk the kids to the friends house . I feel so bad when I hear this . 
",2
" All of the navy 's guidelines , directives , I mean , down to the tee . We did it by the books . SAM DONALDSON : voice-over At first , the navy offered to bring only one  	 charge 	  against Taylor , for dereliction of duty , if he would agree to go before a captain 's mast . That 's a non-judicial hearing before one officer . 
",4
" Pakistani leaders say a top al Qaeda commander has been killed in an explosion . The sources claim Abu Hamza Rabia was in  	 charge 	  al Qaeda 's international operations . Pakistan 's interior minister referred to Rabia as , quote , and a big fish . 
",2
" Two articles of impeachment were sent to the Senate , one count of perjury and one count of obstruction of justice passed . Two other articles failed to get a majority of votes . Leading the  	 charge 	  for presidential resignation was Republican Bob Livingston , who stunned colleagues by announcing his own resignation after news of his own extramarital affairs hit the streets . 
",3
" The question of medical malpractice , Melissa , is a civil claim by , let 's say , an estate , Michael Jackson 's estate . What the real concern here is , is will LAPD  	 charge 	  Dr. Murray -- Charles Murray , on whether or not his behavior was so reckless as to constitute a crime . 
",0
"1 trillion spending bill , and contained within this monstrous piece of legislation are thousands of earmarks estimated to cost upwards of $8 billion . Now , Senate Republicans are leading the  	 charge 	  against this outrageous bill . Chief among them is Arizona Senator McCain , who had some very strong words for Democrats , just yesterday . 
",3
" Until we know more we do n't want to try to read too much into it . Again , what were you told -- you were told what the judge 's  	 charge 	  to the jury was ? MESERVE : She just said , "" go back and I want you to reach a verdict on all of these counts . 
",3
"REPRESENTATIVE-STE And that 's appropriate . REPRESENTATIVE-JOH ... in Washington going to take responsibility for what they are in  	 charge 	  of ? JAKE-TAPPER I want to move on ... REPRESENTATIVE-STE And the administration has done that . 
",2
" And this is n't all of the people in Iran . Understand this - ROSENBERG : Exactly right . BECK : These are people that are in  	 charge 	  right now , specifically Ahmadinejad , and even the Ayatollah Khomeini thought this cult which now controls the government , was so dangerous - true or false - he executed them . 
",1
" And then , as most of the members went to bed , a new player joined the game -- Gabe Maestretti , who 'd been asleep on one of the couches . And then Greg woke up , and he assumed position of in  	 charge 	  . Mr-MAESTRETTI : I remember weird pieces . MORRISON : Maestretti told us he was unable to assemble those pieces into a complete picture because he was still under the influence of a night of bar hopping . 
",1
